日期,产品名称,类别,销量,单价,销售额,区域,销售员
2025-01-11,iPhone 15,电子产品,142,5999.0,851858.0,华南,孙七
2025-01-12,MacBook Air,电子产品,62,7999.0,495938.0,华东,李四
2025-01-13,MacBook Pro,电子产品,92,12999.0,1195908.0,华北,孙七
2025-01-15,MacBook Pro,电子产品,19,12999.0,246981.0,华中,李四
2025-01-21,iPhone 15,电子产品,24,5999.0,143976.0,华南,李四
2025-01-25,iPhone 15,电子产品,29,5999.0,173971.0,华南,周八
2025-01-26,AirPods,配件,103,999.0,102897.0,华北,张三
2025-01-28,AirPods,配件,19,999.0,18981.0,华中,李四
2025-02-01,MacBook Pro,电子产品,16,12999.0,207984.0,华南,张三
2025-02-02,iPhone 15,电子产品,81,5999.0,485919.0,华东,张三
2025-02-03,MacBook Pro,电子产品,61,12999.0,792939.0,西南,张三
2025-02-04,MacBook Pro,电子产品,111,12999.0,1442889.0,华北,赵六
2025-02-05,数据线,配件,141,29.0,4089.0,华南,王五
2025-02-13,iPhone 15,电子产品,100,5999.0,599900.0,华北,赵六
2025-02-18,iPad Pro,电子产品,42,6799.0,285558.0,西南,赵六
2025-02-19,AirPods,配件,55,999.0,54945.0,西北,赵六
2025-02-22,MacBook Air,电子产品,19,7999.0,151981.0,华中,周八
2025-02-24,MacBook Air,电子产品,150,7999.0,1199850.0,西南,孙七
2025-02-24,MacBook Pro,电子产品,140,12999.0,1819860.0,华东,孙七
2025-02-26,充电器,配件,17,149.0,2533.0,西南,赵六
2025-02-28,MacBook Pro,电子产品,98,12999.0,1273902.0,华北,赵六
2025-03-09,iPad Air,电子产品,56,4399.0,246344.0,华北,张三
2025-03-10,iPad Air,电子产品,113,4399.0,497087.0,华中,周八
2025-03-14,数据线,配件,40,29.0,1160.0,华南,王五
2025-03-15,数据线,配件,31,29.0,899.0,华南,李四
2025-03-17,iPad Air,电子产品,130,4399.0,571870.0,华东,周八
2025-03-20,iPhone 15,电子产品,142,5999.0,851858.0,华北,周八
2025-03-21,iPad Pro,电子产品,84,6799.0,571116.0,华东,李四
2025-03-22,数据线,配件,55,29.0,1595.0,华中,李四
2025-03-26,iPhone 15,电子产品,41,5999.0,245959.0,西北,赵六
2025-03-26,iPhone 15,电子产品,118,5999.0,707882.0,华中,张三
2025-03-27,iPad Pro,电子产品,40,6799.0,271960.0,华北,李四
2025-04-02,iPhone 15,电子产品,24,5999.0,143976.0,华南,李四
2025-04-03,MacBook Air,电子产品,93,7999.0,743907.0,华中,李四
2025-04-06,数据线,配件,1,29.0,29.0,西北,周八
2025-04-08,MacBook Pro,电子产品,114,12999.0,1481886.0,华中,张三
2025-04-12,iPad Pro,电子产品,36,6799.0,244764.0,华中,赵六
2025-04-15,iPhone 15,电子产品,26,5999.0,155974.0,华东,赵六
2025-04-16,数据线,配件,55,29.0,1595.0,西南,张三
2025-04-21,数据线,配件,37,29.0,1073.0,华北,李四
2025-05-03,MacBook Pro,电子产品,125,12999.0,1624875.0,华东,孙七
2025-05-08,iPhone 15,电子产品,21,5999.0,125979.0,西南,周八
2025-05-09,iPad Air,电子产品,90,4399.0,395910.0,华东,李四
2025-05-15,MacBook Air,电子产品,142,7999.0,1135858.0,华东,周八
2025-05-15,iPad Air,电子产品,109,4399.0,479491.0,华南,王五
2025-05-16,iPad Air,电子产品,15,4399.0,65985.0,华中,张三
2025-05-19,AirPods,配件,67,999.0,66933.0,华南,周八
2025-05-20,iPhone 15,电子产品,144,5999.0,863856.0,华南,周八
2025-05-25,iPhone 15,电子产品,83,5999.0,497917.0,西南,张三
2025-05-28,充电器,配件,55,149.0,8195.0,华中,周八
2025-06-03,iPhone 15,电子产品,59,5999.0,353941.0,华北,张三
2025-06-04,MacBook Air,电子产品,88,7999.0,703912.0,华东,王五
2025-06-04,iPhone 15,电子产品,71,5999.0,425929.0,华南,李四
2025-06-07,MacBook Air,电子产品,103,7999.0,823897.0,西北,周八
2025-06-11,MacBook Pro,电子产品,64,12999.0,831936.0,华南,李四
2025-06-11,iPad Pro,电子产品,68,6799.0,462332.0,西南,李四
2025-06-19,数据线,配件,63,29.0,1827.0,西南,赵六
2025-06-21,MacBook Air,电子产品,118,7999.0,943882.0,华北,张三
2025-06-23,充电器,配件,57,149.0,8493.0,西南,孙七
2025-06-27,AirPods,配件,42,999.0,41958.0,华北,王五
